Granularity: 10s    Final score: 136.0    Configs: 2    Min time: 79    Max time: 533
Granularity: 15s    Final score: 138.0    Configs: 2    Min time: 104    Max time: 533
Granularity: 20s    Final score: 150.0    Configs: 2    Min time: 239    Max time: 533
Granularity: 30s    Final score: 157.0    Configs: 2    Min time: 345    Max time: 533
Granularity: 40s    Final score: 157.0    Configs: 2    Min time: 345    Max time: 533
Granularity: 50s    Final score: 157.0    Configs: 2    Min time: 345    Max time: 533
Granularity: 60s    Final score: 157.0    Configs: 2    Min time: 345    Max time: 533
Granularity: 70s    Final score: 157.0    Configs: 2    Min time: 345    Max time: 533
Granularity: 80s    Final score: 163.0    Configs: 2    Min time: 533    Max time: 608
Granularity: 90s    Final score: 163.0    Configs: 2    Min time: 533    Max time: 608
Granularity: 100s    Final score: 171.0    Configs: 2    Min time: 533    Max time: 953
Granularity: 110s    Final score: 171.0    Configs: 2    Min time: 533    Max time: 953
Granularity: 120s    Final score: 171.0    Configs: 2    Min time: 533    Max time: 953
Granularity: 130s    Final score: 171.0    Configs: 2    Min time: 1    Max time: 1111
Granularity: 140s    Final score: 172.0    Configs: 2    Min time: 533    Max time: 1111
Granularity: 150s    Final score: 172.0    Configs: 2    Min time: 533    Max time: 1111
Granularity: 160s    Final score: 172.0    Configs: 2    Min time: 533    Max time: 1111
Granularity: 170s    Final score: 171.0    Configs: 2    Min time: 1    Max time: 1111
Granularity: 180s    Final score: 172.0    Configs: 2    Min time: 533    Max time: 1111
Granularity: 190s    Final score: 172.0    Configs: 2    Min time: 533    Max time: 1111
Granularity: 200s    Final score: 172.0    Configs: 2    Min time: 533    Max time: 1111
Granularity: 220s    Final score: 173.0    Configs: 2    Min time: 1    Max time: 1513
Granularity: 240s    Final score: 171.0    Configs: 2    Min time: 1    Max time: 1111
Granularity: 260s    Final score: 173.0    Configs: 1    Min time: 1513    Max time: 1513
Granularity: 280s    Final score: 172.0    Configs: 2    Min time: 533    Max time: 1111
Granularity: 300s    Final score: 173.0    Configs: 1    Min time: 1513    Max time: 1513
Granularity: 330s    Final score: 173.0    Configs: 1    Min time: 1513    Max time: 1513
Granularity: 360s    Final score: 173.0    Configs: 1    Min time: 1513    Max time: 1513
Granularity: 390s    Final score: 173.0    Configs: 1    Min time: 1513    Max time: 1513
Granularity: 420s    Final score: 173.0    Configs: 1    Min time: 1513    Max time: 1513
Granularity: 450s    Final score: 173.0    Configs: 1    Min time: 1513    Max time: 1513
Granularity: 500s    Final score: 172.0    Configs: 1    Min time: 1492    Max time: 1492
Granularity: 550s    Final score: 173.0    Configs: 1    Min time: 1513    Max time: 1513
Granularity: 600s    Final score: 173.0    Configs: 1    Min time: 1513    Max time: 1513
Granularity: 900s    Final score: 173.0    Configs: 1    Min time: 1513    Max time: 1513
