Granularity: 10s    Final score: 1002.0    Configs: 6    Min time: 3    Max time: 1355
Granularity: 15s    Final score: 1069.0    Configs: 5    Min time: 37    Max time: 813
Granularity: 20s    Final score: 1069.0    Configs: 5    Min time: 37    Max time: 813
Granularity: 30s    Final score: 1128.0    Configs: 4    Min time: 10    Max time: 762
Granularity: 40s    Final score: 1140.0    Configs: 4    Min time: 26    Max time: 832
Granularity: 50s    Final score: 1138.0    Configs: 4    Min time: 26    Max time: 795
Granularity: 60s    Final score: 1139.0    Configs: 3    Min time: 398    Max time: 832
Granularity: 70s    Final score: 1367.0    Configs: 3    Min time: 67    Max time: 969
Granularity: 80s    Final score: 1369.0    Configs: 3    Min time: 79    Max time: 955
Granularity: 90s    Final score: 1375.0    Configs: 3    Min time: 79    Max time: 987
Granularity: 100s    Final score: 1374.0    Configs: 3    Min time: 95    Max time: 987
Granularity: 110s    Final score: 1370.0    Configs: 3    Min time: 95    Max time: 987
Granularity: 120s    Final score: 1370.0    Configs: 3    Min time: 95    Max time: 949
Granularity: 130s    Final score: 1347.0    Configs: 3    Min time: 95    Max time: 764
Granularity: 140s    Final score: 1356.0    Configs: 3    Min time: 95    Max time: 976
Granularity: 150s    Final score: 1372.0    Configs: 3    Min time: 149    Max time: 900
Granularity: 160s    Final score: 1350.0    Configs: 3    Min time: 149    Max time: 798
Granularity: 170s    Final score: 1351.0    Configs: 3    Min time: 149    Max time: 844
Granularity: 180s    Final score: 1362.0    Configs: 3    Min time: 149    Max time: 1062
Granularity: 190s    Final score: 1352.0    Configs: 3    Min time: 149    Max time: 1136
Granularity: 200s    Final score: 1350.0    Configs: 3    Min time: 149    Max time: 798
Granularity: 220s    Final score: 1351.0    Configs: 3    Min time: 149    Max time: 860
Granularity: 240s    Final score: 1348.0    Configs: 3    Min time: 228    Max time: 949
Granularity: 260s    Final score: 1324.0    Configs: 3    Min time: 228    Max time: 764
Granularity: 280s    Final score: 1343.0    Configs: 3    Min time: 266    Max time: 1112
Granularity: 300s    Final score: 1352.0    Configs: 3    Min time: 266    Max time: 1193
Granularity: 330s    Final score: 1337.0    Configs: 3    Min time: 313    Max time: 987
Granularity: 360s    Final score: 1349.0    Configs: 3    Min time: 349    Max time: 1062
Granularity: 390s    Final score: 1320.0    Configs: 2    Min time: 376    Max time: 1167
Granularity: 420s    Final score: 1332.0    Configs: 2    Min time: 420    Max time: 1245
Granularity: 450s    Final score: 1340.0    Configs: 3    Min time: 444    Max time: 898
Granularity: 500s    Final score: 1317.0    Configs: 2    Min time: 484    Max time: 987
Granularity: 550s    Final score: 1327.0    Configs: 2    Min time: 536    Max time: 1088
Granularity: 600s    Final score: 1345.0    Configs: 2    Min time: 588    Max time: 1193
Granularity: 900s    Final score: 1341.0    Configs: 2    Min time: 892    Max time: 900
